dataset,features,mtwv,p_fa,p_miss,desc_score
eng-mav,20210225-Large-0FT_encoder,0.6526,0.07715,0.079,0.82546253
eng-mav,20210225-Large-0FT_quantizer,0.6216,0.09962,0.031,0.67755646
eng-mav,20210225-Large-0FT_transformer-L01,0.6711,0.06929,0.087,0.79799927
eng-mav,20210225-Large-0FT_transformer-L02,0.6756,0.06315,0.104,0.81074882
eng-mav,20210225-Large-0FT_transformer-L03,0.6788,0.05492,0.13,0.81879361
eng-mav,20210225-Large-0FT_transformer-L04,0.6954,0.07783,0.033,0.78194978
eng-mav,20210225-Large-0FT_transformer-L05,0.7306,0.05625,0.073,0.8106597
eng-mav,20210225-Large-0FT_transformer-L06,0.7312,0.05573,0.075,0.82191432
eng-mav,20210225-Large-0FT_transformer-L07,0.7768,0.04305,0.073,0.85027387
eng-mav,20210225-Large-0FT_transformer-L08,0.7742,0.03572,0.101,0.87314268
eng-mav,20210225-Large-0FT_transformer-L09,0.8492,0.02459,0.065,0.87431654
eng-mav,20210225-Large-0FT_transformer-L10,0.8654,0.02096,0.062,0.86597213
eng-mav,20210225-Large-0FT_transformer-L11,0.8936,0.00966,0.073,0.88313622
eng-mav,20210225-Large-0FT_transformer-L12,0.9094,0.01049,0.054,0.86119228
eng-mav,20210225-Large-0FT_transformer-L13,0.8838,0.01127,0.077,0.84554673
eng-mav,20210225-Large-0FT_transformer-L14,0.8627,0.01179,0.096,0.85123691
eng-mav,20210225-Large-0FT_transformer-L15,0.8874,0.01722,0.053,0.8542397
eng-mav,20210225-Large-0FT_transformer-L16,0.8296,0.02072,0.098,0.87086825
eng-mav,20210225-Large-0FT_transformer-L17,0.794,0.03627,0.08,0.86076862
eng-mav,20210225-Large-0FT_transformer-L18,0.7837,0.03089,0.109,0.84402654
eng-mav,20210225-Large-0FT_transformer-L19,0.7604,0.04783,0.073,0.79425093
eng-mav,20210225-Large-0FT_transformer-L20,0.7483,0.05637,0.055,0.76339996
eng-mav,20210225-Large-0FT_transformer-L21,0.6892,0.07446,0.051,0.76711152
eng-mav,20210225-Large-0FT_transformer-L22,0.6187,0.10891,0.002,0.81736828
eng-mav,20210225-Large-0FT_transformer-L23,0.6158,0.10828,0.007,0.87647989
eng-mav,20210225-Large-0FT_transformer-L24,0.6162,0.11014,0,0.85369594
eng-mav,bnf,0.6559,0.09604,0.01,0.90218664
eng-mav,mfcc,0.6478,0.07443,0.093,0.84379194
gbb-lg,20210225-Large-0FT_encoder,0.5118,0.05759,0.288,0.84588064
gbb-lg,20210225-Large-0FT_quantizer,0.2233,0.15347,0.242,0.62744661
gbb-lg,20210225-Large-0FT_transformer-L01,0.4805,0.04534,0.362,0.84417783
gbb-lg,20210225-Large-0FT_transformer-L02,0.4998,0.06365,0.278,0.82837766
gbb-lg,20210225-Large-0FT_transformer-L03,0.5478,0.0609,0.24,0.83421074
gbb-lg,20210225-Large-0FT_transformer-L04,0.5709,0.03506,0.307,0.83442471
