features,dataset,query,ref,corr,fa,miss,p_fa,p_miss,mtwv
20210225-Large-0FT_transformer-L11,eng-mav,access,19,18,14,1,0.0030146425495262705,0.052631578947368474,0.9368647148791746
20210225-Large-0FT_transformer-L11,eng-mav,addressing,1,1,40,0,0.008581849388543231,0,0.9700988681340399
20210225-Large-0FT_transformer-L11,eng-mav,against,1,1,17,0,0.0036472859901308732,0,0.9872920189569669
20210225-Large-0FT_transformer-L11,eng-mav,amount,2,2,149,0,0.03197424892703862,0,0.8885943821434614
20210225-Large-0FT_transformer-L11,eng-mav,analysis,5,5,11,0,0.002362035645265192,0,0.9917701259829308
20210225-Large-0FT_transformer-L11,eng-mav,annotation,7,7,102,0,0.021911922663802364,0,0.9236538350484507
20210225-Large-0FT_transformer-L11,eng-mav,answering,1,1,24,0,0.005149109633125939,0,0.9820593208804239
20210225-Large-0FT_transformer-L11,eng-mav,application,11,11,152,0,0.0326811438400344,0,0.8861313981114787
20210225-Large-0FT_transformer-L11,eng-mav,audience,1,1,22,0,0.004720017163698777,0,0.983554377473722
20210225-Large-0FT_transformer-L11,eng-mav,automatically,6,6,42,0,0.00902061855670103,0,0.9685700957026198
20210225-Large-0FT_transformer-L11,eng-mav,basically,32,27,48,5,0.010355987055016181,0.15625,0.8076673655334006
20210225-Large-0FT_transformer-L11,eng-mav,benefit,2,2,15,0,0.003218884120171674,0,0.9887846693433014
20210225-Large-0FT_transformer-L11,eng-mav,between,13,13,52,0,0.011185201118520113,0,0.9610281935221742
20210225-Large-0FT_transformer-L11,eng-mav,beyond,1,1,6,0,0.0012872774082814847,0,0.995514830220106
20210225-Large-0FT_transformer-L11,eng-mav,capturing,1,1,38,0,0.00815275691911607,0,0.9715939247273379
20210225-Large-0FT_transformer-L11,eng-mav,challenge,10,10,205,0,0.044067067927773,0,0.8464602267649171
20210225-Large-0FT_transformer-L11,eng-mav,children,1,1,7,0,0.0015018236429950654,0,0.994767301923457
20210225-Large-0FT_transformer-L11,eng-mav,collected,1,1,87,0,0.01866552242008153,0,0.9349650381915368
20210225-Large-0FT_transformer-L11,eng-mav,collection,35,35,61,0,0.013183488221309703,0,0.9540657028676159
20210225-Large-0FT_transformer-L11,eng-mav,combine,5,5,60,0,0.012883830792355593,0,0.9551097780887137
20210225-Large-0FT_transformer-L11,eng-mav,conclude,1,1,14,0,0.003003647285990131,0,0.9895346038469139
20210225-Large-0FT_transformer-L11,eng-mav,confidence,2,2,63,0,0.01351931330472103,0,0.9528956112418663
20210225-Large-0FT_transformer-L11,eng-mav,contrast,1,1,92,0,0.019738253593649432,0,0.9312273967082917
20210225-Large-0FT_transformer-L11,eng-mav,deep,1,1,84,0,0.018021883715940785,0,0.9372076230814838
20210225-Large-0FT_transformer-L11,eng-mav,description,10,10,84,0,0.018056749785038694,0,0.9370861416987952
20210225-Large-0FT_transformer-L11,eng-mav,designed,1,0,73,1,0.01565851565851566,1,-0.05455786047183908
20210225-Large-0FT_transformer-L11,eng-mav,difference,3,3,55,0,0.011805108392358874,0,0.9588682943791682
20210225-Large-0FT_transformer-L11,eng-mav,document,15,15,17,0,0.0036582741553690553,0,0.9872537336686944
20210225-Large-0FT_transformer-L11,eng-mav,domain,17,17,47,0,0.010118406889128094,0,0.9647451493300307
20210225-Large-0FT_transformer-L11,eng-mav,england,2,2,42,0,0.009012875536480686,0,0.9685970741612442
20210225-Large-0FT_transformer-L11,eng-mav,evaluation,45,45,23,0,0.004981589776911414,0,0.9826429984869692
20210225-Large-0FT_transformer-L11,eng-mav,experiment,4,4,5,0,0.00107342206955775,0,0.9962599512766412
20210225-Large-0FT_transformer-L11,eng-mav,explain,1,1,5,0,0.001072731173567904,0,0.9962623585167549
20210225-Large-0FT_transformer-L11,eng-mav,expression,1,1,50,0,0.010727311735679038,0,0.9626235851675499
20210225-Large-0FT_transformer-L11,eng-mav,extent,1,1,19,0,0.004076378459558035,0,0.985796962363669
20210225-Large-0FT_transformer-L11,eng-mav,fifty,1,1,4,0,8.581849388543231e-4,0,0.997009886813404
20210225-Large-0FT_transformer-L11,eng-mav,filtering,1,1,9,0,0.001930916112422227,0,0.993272245330159
20210225-Large-0FT_transformer-L11,eng-mav,for_example,54,53,19,1,0.004122369277500542,0.01851851851851849,0.9671182012855737
20210225-Large-0FT_transformer-L11,eng-mav,general,13,13,59,0,0.012690901269090126,0,0.9557819888040053
20210225-Large-0FT_transformer-L11,eng-mav,global,4,4,24,0,0.005152425933877201,0,0.982047766127878
20210225-Large-0FT_transformer-L11,eng-mav,google,4,4,1,0,2.1468441391155003e-4,0,0.9992519902553283
20210225-Large-0FT_transformer-L11,eng-mav,IBM,3,3,42,0,0.00901481004507405,0,0.9685903338895466
20210225-Large-0FT_transformer-L11,eng-mav,important,16,13,9,3,0.0019359001935900194,0.1875,0.8057548796480686
20210225-Large-0FT_transformer-L11,eng-mav,individual,5,5,48,0,0.010307064633884476,0,0.964087822470971
20210225-Large-0FT_transformer-L11,eng-mav,information,40,40,89,0,0.019255733448723496,0,0.9329086075788383
20210225-Large-0FT_transformer-L11,eng-mav,interesting,26,24,26,2,0.00560586459680897,0.07692307692307687,0.9035448048885432
20210225-Large-0FT_transformer-L11,eng-mav,involve,14,13,32,1,0.006883200688320069,0.0714285714285714,0.9045887784312281
20210225-Large-0FT_transformer-L11,eng-mav,language,11,11,7,0,0.0015050526768436896,0,0.994756051228818
20210225-Large-0FT_transformer-L11,eng-mav,lecture,3,0,2,3,4.29000429000429e-4,1,-0.0014947359033381513
20210225-Large-0FT_transformer-L11,eng-mav,limited,1,1,149,0,0.031967388972323534,0,0.8886182837992985
20210225-Large-0FT_transformer-L11,eng-mav,literature,2,2,20,0,0.004291845493562232,0,0.9850462257910687
20210225-Large-0FT_transformer-L11,eng-mav,machine,2,2,27,0,0.0057939914163090125,0,0.9798124048179426
20210225-Large-0FT_transformer-L11,eng-mav,making,4,4,31,0,0.0066552168312580505,0,0.9768116979151757
20210225-Large-0FT_transformer-L11,eng-mav,medical,18,18,10,0,0.002153316106804479,0,0.992497352733245
20210225-Large-0FT_transformer-L11,eng-mav,meeting,1,1,33,0,0.007080025745548166,0,0.9753315662105829
20210225-Large-0FT_transformer-L11,eng-mav,multilingual,6,6,0,0,0,0,1
20210225-Large-0FT_transformer-L11,eng-mav,number,10,10,81,0,0.017411865864144453,0,0.9393330652095526
20210225-Large-0FT_transformer-L11,eng-mav,paper,11,11,76,0,0.0163405719200172,0,0.9430656990557393
20210225-Large-0FT_transformer-L11,eng-mav,people,43,43,189,0,0.0409179476077073,0,0.8574324843388808
20210225-Large-0FT_transformer-L11,eng-mav,performance,14,12,19,2,0.0040860215053763445,0.1428571428571429,0.8429062209228702
20210225-Large-0FT_transformer-L11,eng-mav,perhaps,28,28,117,0,0.025248165731549418,0,0.9120295988973506
20210225-Large-0FT_transformer-L11,eng-mav,powerful,1,1,11,0,0.0023600085818493884,0,0.9917771887368609
