dataset,features,mtwv,p_fa,p_miss,desc_score
eng-mav,20210127-XLSR53_encoder,0.619,0.10775,0.006,0.63081944
eng-mav,20210127-XLSR53_quantizer,0.6154,0.11038,0,0.42255187
eng-mav,20210127-XLSR53_transformer-L01,0.6155,0.11033,0,0.56639608
eng-mav,20210127-XLSR53_transformer-L02,0.6154,0.11038,0,0.59767936
eng-mav,20210127-XLSR53_transformer-L03,0.6158,0.11026,0,0.64490255
eng-mav,20210127-XLSR53_transformer-L04,0.6153,0.1104,0,0.60838241
eng-mav,20210127-XLSR53_transformer-L05,0.6154,0.11039,0,0.63487582
eng-mav,20210127-XLSR53_transformer-L06,0.6185,0.10928,0.001,0.736773
eng-mav,20210127-XLSR53_transformer-L07,0.6185,0.10935,0.001,0.74338846
eng-mav,20210127-XLSR53_transformer-L08,0.6155,0.11035,0,0.71216052
eng-mav,20210127-XLSR53_transformer-L09,0.6154,0.11038,0,0.69134941
eng-mav,20210127-XLSR53_transformer-L10,0.6154,0.11039,0,0.67162182
eng-mav,20210127-XLSR53_transformer-L11,0.6169,0.10981,0,0.75041273
eng-mav,20210127-XLSR53_transformer-L12,0.6168,0.10882,0.004,0.77517226
eng-mav,20210127-XLSR53_transformer-L13,0.6155,0.11035,0,0.70951284
eng-mav,20210127-XLSR53_transformer-L14,0.6153,0.1104,0,0.65255856
eng-mav,20210127-XLSR53_transformer-L15,0.6156,0.11032,0,0.70629376
eng-mav,20210127-XLSR53_transformer-L16,0.6154,0.11039,0,0.63519271
eng-mav,20210127-XLSR53_transformer-L17,0.6156,0.11032,0,0.6778447
eng-mav,20210127-XLSR53_transformer-L18,0.6153,0.1104,0,0.61442977
eng-mav,20210127-XLSR53_transformer-L19,0.6156,0.11032,0,0.59056504
eng-mav,20210127-XLSR53_transformer-L20,0.6155,0.11034,0,0.56278979
eng-mav,20210127-XLSR53_transformer-L21,0.6156,0.11032,0,0.58098288
eng-mav,20210127-XLSR53_transformer-L22,0.6163,0.10784,0.008,0.49037339
eng-mav,20210127-XLSR53_transformer-L23,0.6163,0.10784,0.008,0.49035556
eng-mav,20210127-XLSR53_transformer-L24,0.6163,0.10783,0.008,0.49033781
gbb-lg,20210127-XLSR53_encoder,0.3826,0.06001,0.408,0.81688079
gbb-lg,20210127-XLSR53_quantizer,0.239,0.12005,0.343,0.65204359
gbb-lg,20210127-XLSR53_transformer-L01,0.0882,0.12851,0.464,0.85934402
gbb-lg,20210127-XLSR53_transformer-L02,0.0836,0.06231,0.699,0.89163562
gbb-lg,20210127-XLSR53_transformer-L03,0.084,0.07046,0.67,0.89177714
gbb-lg,20210127-XLSR53_transformer-L04,0.0947,0.08007,0.626,0.88752549
gbb-lg,20210127-XLSR53_transformer-L05,0.0352,0.09445,0.636,0.87344773
gbb-lg,20210127-XLSR53_transformer-L06,0.0522,0.09446,0.619,0.87846235
gbb-lg,20210127-XLSR53_transformer-L07,0.0566,0.10896,0.564,0.87542062
gbb-lg,20210127-XLSR53_transformer-L08,0.0575,0.10235,0.586,0.88345953
gbb-lg,20210127-XLSR53_transformer-L09,0.0522,0.1511,0.421,0.86672431
gbb-lg,20210127-XLSR53_transformer-L10,0.0454,0.07885,0.68,0.8985846
gbb-lg,20210127-XLSR53_transformer-L11,0.0477,0.1412,0.46,0.87614552
gbb-lg,20210127-XLSR53_transformer-L12,0.0693,0.11021,0.547,0.88883621
gbb-lg,20210127-XLSR53_transformer-L13,0.0424,0.13782,0.477,0.88264917
gbb-lg,20210127-XLSR53_transformer-L14,0.0544,0.13491,0.475,0.88129921
gbb-lg,20210127-XLSR53_transformer-L15,0.0575,0.12945,0.492,0.88495929
gbb-lg,20210127-XLSR53_transformer-L16,0.0598,0.15755,0.391,0.87943983
gbb-lg,20210127-XLSR53_transformer-L17,0.0413,0.11911,0.544,0.8909994
gbb-lg,20210127-XLSR53_transformer-L18,0.0393,0.08892,0.651,0.90166307
gbb-lg,20210127-XLSR53_transformer-L19,0.0434,0.12587,0.518,0.89116298
gbb-lg,20210127-XLSR53_transformer-L20,0.0365,0.0635,0.742,0.91315995
gbb-lg,20210127-XLSR53_transformer-L21,0.0186,0.08142,0.698,0.90239699
gbb-lg,20210127-XLSR53_transformer-L22,0,0,1,0.98169144
gbb-lg,20210127-XLSR53_transformer-L23,0,0,1,0.98165699
gbb-lg,20210127-XLSR53_transformer-L24,0,0,1,0.98138841
gbb-pd,20210127-XLSR53_encoder,0.5859,0.03857,0.28,0.87214043
gbb-pd,20210127-XLSR53_quantizer,0.4936,0.08752,0.201,0.72612893
gbb-pd,20210127-XLSR53_transformer-L01,0.2594,0.07342,0.485,0.91081926
gbb-pd,20210127-XLSR53_transformer-L02,0.322,0.04912,0.507,0.91936039
gbb-pd,20210127-XLSR53_transformer-L03,0.3416,0.07639,0.392,0.91199683
gbb-pd,20210127-XLSR53_transformer-L04,0.3211,0.05764,0.478,0.91767151
gbb-pd,20210127-XLSR53_transformer-L05,0.2983,0.07414,0.443,0.90915783
gbb-pd,20210127-XLSR53_transformer-L06,0.2656,0.03809,0.602,0.9228066
gbb-pd,20210127-XLSR53_transformer-L07,0.2507,0.03927,0.612,0.92111482
gbb-pd,20210127-XLSR53_transformer-L08,0.2352,0.07773,0.494,0.91179629
gbb-pd,20210127-XLSR53_transformer-L09,0.2098,0.08396,0.498,0.9124305
gbb-pd,20210127-XLSR53_transformer-L10,0.21,0.07662,0.523,0.91511234
gbb-pd,20210127-XLSR53_transformer-L11,0.211,0.0663,0.558,0.91780804
gbb-pd,20210127-XLSR53_transformer-L12,0.2087,0.06189,0.576,0.92112476
gbb-pd,20210127-XLSR53_transformer-L13,0.2004,0.05585,0.605,0.92458244
gbb-pd,20210127-XLSR53_transformer-L14,0.1932,0.05358,0.62,0.92317231
gbb-pd,20210127-XLSR53_transformer-L15,0.1963,0.05407,0.615,0.923986
gbb-pd,20210127-XLSR53_transformer-L16,0.2115,0.06951,0.546,0.92121861
gbb-pd,20210127-XLSR53_transformer-L17,0.2352,0.07045,0.519,0.92107657
gbb-pd,20210127-XLSR53_transformer-L18,0.2296,0.07272,0.517,0.9205904
gbb-pd,20210127-XLSR53_transformer-L19,0.2124,0.07713,0.519,0.92076812
gbb-pd,20210127-XLSR53_transformer-L20,0.1992,0.08745,0.496,0.91566466
gbb-pd,20210127-XLSR53_transformer-L21,0.1915,0.06781,0.572,0.92161352
gbb-pd,20210127-XLSR53_transformer-L22,0.0025,9.7e-4,0.994,0.95752441
gbb-pd,20210127-XLSR53_transformer-L23,0.0026,9.7e-4,0.994,0.95756535
gbb-pd,20210127-XLSR53_transformer-L24,0.0026,9.5e-4,0.994,0.95759939
gos-kdl,20210127-XLSR53_encoder,0.3222,0.03528,0.555,0.87052094
gos-kdl,20210127-XLSR53_quantizer,0.2224,0.05908,0.572,0.77281439
gos-kdl,20210127-XLSR53_transformer-L01,0.2432,0.06109,0.544,0.90205221
gos-kdl,20210127-XLSR53_transformer-L02,0.2423,0.03928,0.621,0.91832084
gos-kdl,20210127-XLSR53_transformer-L03,0.248,0.05873,0.547,0.91711785
gos-kdl,20210127-XLSR53_transformer-L04,0.2369,0.06665,0.531,0.91635093
gos-kdl,20210127-XLSR53_transformer-L05,0.2168,0.06386,0.561,0.91080386
gos-kdl,20210127-XLSR53_transformer-L06,0.2024,0.03917,0.661,0.92770441
gos-kdl,20210127-XLSR53_transformer-L07,0.1905,0.0682,0.572,0.91989715
gos-kdl,20210127-XLSR53_transformer-L08,0.1624,0.07287,0.584,0.92395907
gos-kdl,20210127-XLSR53_transformer-L09,0.1378,0.04976,0.689,0.93352354
gos-kdl,20210127-XLSR53_transformer-L10,0.1498,0.05644,0.654,0.93288593
gos-kdl,20210127-XLSR53_transformer-L11,0.1391,0.05903,0.655,0.9302817
gos-kdl,20210127-XLSR53_transformer-L12,0.1437,0.085319999999999993,0.559,0.92445224
gos-kdl,20210127-XLSR53_transformer-L13,0.1407,0.10748,0.485,0.92180946
gos-kdl,20210127-XLSR53_transformer-L14,0.1306,0.06953,0.627,0.93163348
gos-kdl,20210127-XLSR53_transformer-L15,0.1251,0.0487,0.705,0.93870552
gos-kdl,20210127-XLSR53_transformer-L16,0.1316,0.10046,0.518,0.92569038
gos-kdl,20210127-XLSR53_transformer-L17,0.135,0.07553,0.602,0.93259744
gos-kdl,20210127-XLSR53_transformer-L18,0.0976,0.09536,0.57,0.92862544
gos-kdl,20210127-XLSR53_transformer-L19,0.1285,0.07782,0.6,0.93387796
gos-kdl,20210127-XLSR53_transformer-L20,0.0852,0.07718,0.646,0.93186951
gos-kdl,20210127-XLSR53_transformer-L21,0.0799,0.03041,0.814,0.94756616
gos-kdl,20210127-XLSR53_transformer-L22,0.0135,0.14906,0.467,0.82258925
gos-kdl,20210127-XLSR53_transformer-L23,0.013,0.14971,0.465,0.82204307
gos-kdl,20210127-XLSR53_transformer-L24,0.0124,0.1494,0.467,0.82225082
gup-wat,20210127-XLSR53_encoder,0.1553,0.07069,0.598,0.896857
gup-wat,20210127-XLSR53_quantizer,0.0403,0.04164,0.815,0.8714132
gup-wat,20210127-XLSR53_transformer-L01,0.0385,0.02715,0.867,0.96236586
gup-wat,20210127-XLSR53_transformer-L02,0.045,0.06678,0.722,0.94239189
gup-wat,20210127-XLSR53_transformer-L03,0.0404,0.06047,0.749,0.94558287
gup-wat,20210127-XLSR53_transformer-L04,0.0193,0.05291,0.796,0.94765851
gup-wat,20210127-XLSR53_transformer-L05,0.0173,0.03548,0.859,0.9495585
